case_id,trap,effort,run,expected,prediction,correct,reasoning_tokens,output_tokens,raw_output
contaminated_01,distraction,xhigh,7,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,xhigh,8,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,xhigh,9,account,account,True,0,8,"{""category"":""account""}"
contaminated_01,distraction,xhigh,10,account,account,True,0,8,"{""category"":""account""}"
contaminated_02,misleading_frame,low,1,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,2,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,3,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,4,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,5,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,6,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,7,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,8,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,9,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,low,10,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,1,billing,billing,True,6,20,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,2,billing,billing,True,9,23,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,3,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,4,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,5,billing,billing,True,6,20,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,6,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,7,billing,billing,True,8,22,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,8,billing,billing,True,9,23,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,9,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,high,10,billing,billing,True,7,21,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,1,billing,billing,True,8,22,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,2,billing,billing,True,9,23,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,3,billing,billing,True,8,22,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,4,billing,billing,True,9,23,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,5,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,6,billing,billing,True,8,22,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,7,billing,billing,True,8,22,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,8,billing,billing,True,19,33,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,9,billing,billing,True,0,8,"{""category"":""billing""}"
contaminated_02,misleading_frame,xhigh,10,billing,billing,True,9,23,"{""category"":""billing""}"
contaminated_03,spurious_correlation,low,1,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,2,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,3,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,4,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,5,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,6,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,7,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,8,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,9,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,low,10,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,1,technical,technical,True,18,32,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,2,technical,technical,True,19,33,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,3,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,4,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,5,technical,technical,True,19,33,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,6,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,7,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,8,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,9,technical,technical,True,17,31,"{""category"":""technical""}"
contaminated_03,spurious_correlation,high,10,technical,technical,True,19,33,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,1,technical,technical,True,24,38,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,2,technical,technical,True,0,8,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,3,technical,technical,True,26,40,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,4,technical,technical,True,26,40,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,5,technical,technical,True,23,37,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,6,technical,technical,True,24,38,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,7,technical,technical,True,24,38,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,8,technical,technical,True,28,42,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,9,technical,technical,True,24,38,"{""category"":""technical""}"
contaminated_03,spurious_correlation,xhigh,10,technical,technical,True,23,37,"{""category"":""technical""}"
